2026-05-22 16:35:02 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (f3f7c4ed2d187944640a3f1e3661fbce)] -> name: password]
2026-05-22 16:35:02 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : heloo in : By.name: password
2026-05-22 16:35:02 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (f3f7c4ed2d187944640a3f1e3661fbce)] -> xpath: //button[@type='submit']]
2026-05-22 16:35:02 INFO  com.orangehrm.actiondriver.ActionDriver - click on : By.xpath: //button[@type='submit']
2026-05-22 16:35:04 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (f3f7c4ed2d187944640a3f1e3661fbce)] -> xpath: //div[@class="orangehrm-login-form"]/div/div/div/p]
2026-05-22 16:35:04 INFO  com.orangehrm.actiondriver.ActionDriver - 'Invalid credentials' is matched to 'Invalid credentials' at location :By.xpath: //div[@class="orangehrm-login-form"]/div/div/div/p
2026-05-22 16:35:04 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:05 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:05 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:06 INFO  com.orangehrm.factory.DriverFactory - WebDriver terminated
2026-05-22 16:35:06 INFO  com.orangehrm.base.BaseTest - WebDriver instance terminated
2026-05-22 16:35:06 INFO  com.orangehrm.base.BaseTest - ActionDriver instance terminated
2026-05-22 16:35:06 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:35:06 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:35:06 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:35:06 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:35:07 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:07 INFO  com.orangehrm.base.BaseTest - Selected URL is: http://localhost/OrangeHRM/orangehrm-5.8/web/index.php/auth/login
2026-05-22 16:35:07 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:08 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:08 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:08 INFO  com.orangehrm.actiondriver.ActionDriver - ActionDriver is initalized
2026-05-22 16:35:08 INFO  com.orangehrm.tesetcases.TC001InvalidLoginTest - TC001InvalidLoginTest is executed
2026-05-22 16:35:08 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:08 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (e7d300ce5837c121eb9b960b37001dd1)] -> name: username]
2026-05-22 16:35:08 INFO  com.orangehrm.actiondriver.ActionDriver - element located by : By.name: username is visible
2026-05-22 16:35:08 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:08 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (e7d300ce5837c121eb9b960b37001dd1)] -> name: username]
2026-05-22 16:35:09 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : abcd in : By.name: username
2026-05-22 16:35:09 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (e7d300ce5837c121eb9b960b37001dd1)] -> name: password]
2026-05-22 16:35:09 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : efgh in : By.name: password
2026-05-22 16:35:09 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (e7d300ce5837c121eb9b960b37001dd1)] -> xpath: //button[@type='submit']]
2026-05-22 16:35:09 INFO  com.orangehrm.actiondriver.ActionDriver - click on : By.xpath: //button[@type='submit']
2026-05-22 16:35:11 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (e7d300ce5837c121eb9b960b37001dd1)] -> xpath: //div[@class="orangehrm-login-form"]/div/div/div/p]
2026-05-22 16:35:11 INFO  com.orangehrm.actiondriver.ActionDriver - 'Invalid credentials' is matched to 'Invalid credentials' at location :By.xpath: //div[@class="orangehrm-login-form"]/div/div/div/p
2026-05-22 16:35:11 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:11 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:12 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:12 INFO  com.orangehrm.factory.DriverFactory - WebDriver terminated
